FabGuard-V19.02.00
EXPORTED BIN DATA
Run Path and Name: c:\Inficon\data\009-13-2026\scaleupCCU2026, Position 1, RGA MPH 100 70252106, 009-13-2026 20'23'55.isi
SensorID:  RGA MPH 100 70252106
7 Bins 
50694 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure	28_amu_(Nitrogen)	44_amu_(CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Relay_1_(DO_0)
0.417	1789302235.949	09/13/2026_20:23:55.949	1	2	4.631956108e-05	6.621220461e-09	2.283785834e-11	1	1	0
0.496	1789302236.028	09/13/2026_20:23:56.028	1	2	4.647980677e-05	6.632582483e-09	2.291970953e-11	1	1	0
0.576	1789302236.108	09/13/2026_20:23:56.108	1	2	4.659583647e-05	6.582117962e-09	2.29748616e-11	1	1	0
0.656	1789302236.188	09/13/2026_20:23:56.188	1	2	4.665645974e-05	6.584516044e-09	2.29214113e-11	1	1	0
0.736	1789302236.268	09/13/2026_20:23:56.268	1	2	4.66044803e-05	6.62495836e-09	2.288634039e-11	1	1	0
0.816	1789302236.348	09/13/2026_20:23:56.348	1	2	4.667171743e-05	6.601950986e-09	2.295630179e-11	1	1	0
0.895	1789302236.427	09/13/2026_20:23:56.427	1	2	4.669447662e-05	6.620896276e-09	2.310310623e-11	1	1	0
0.975	1789302236.507	09/13/2026_20:23:56.507	1	2	4.671102579e-05	6.618912529e-09	2.295938439e-11	1	1	0
1.055	1789302236.587	09/13/2026_20:23:56.587	1	2	4.667961912e-05	6.635522798e-09	2.295504585e-11	1	1	0
1.135	1789302236.667	09/13/2026_20:23:56.667	1	2	4.666854511e-05	6.59562005e-09	2.296989682e-11	1	1	0
1.215	1789302236.747	09/13/2026_20:23:56.747	1	2	4.666317545e-05	6.553172227e-09	2.288720428e-11	1	1	0
1.294	1789302236.826	09/13/2026_20:23:56.826	1	2	4.663336222e-05	6.605389125e-09	2.289162436e-11	1	1	0
1.374	1789302236.906	09/13/2026_20:23:56.906	1	2	4.663290747e-05	6.628766425e-09	2.294710776e-11	1	1	0
1.454	1789302236.986	09/13/2026_20:23:56.986	1	2	4.666554378e-05	6.589090606e-09	2.305750382e-11	1	1	0
1.534	1789302237.066	09/13/2026_20:23:57.066	1	2	4.672651266e-05	6.612058012e-09	2.288202787e-11	1	1	0
1.614	1789302237.146	09/13/2026_20:23:57.146	1	2	4.67676582e-05	6.622398185e-09	2.287187453e-11	1	1	0
1.693	1789302237.225	09/13/2026_20:23:57.225	1	2	4.682167491e-05	6.5554846e-09	2.294677816e-11	1	1	0
1.773	1789302237.305	09/13/2026_20:23:57.305	1	2	4.687040928e-05	6.577193901e-09	2.284507479e-11	1	1	0
1.853	1789302237.385	09/13/2026_20:23:57.385	1	2	4.690957212e-05	6.61643984e-09	2.270404871e-11	1	1	0
1.933	1789302237.465	09/13/2026_20:23:57.465	1	2	4.693182564e-05	6.627451477e-09	2.264863297e-11	1	1	0
2.013	1789302237.545	09/13/2026_20:23:57.545	1	2	4.694081144e-05	6.588320556e-09	2.27924641e-11	1	1	0
2.092	1789302237.624	09/13/2026_20:23:57.624	1	2	4.697133409e-05	6.640659134e-09	2.265734302e-11	1	1	0
2.172	1789302237.704	09/13/2026_20:23:57.704	1	2	4.697716577e-05	6.623409377e-09	2.26724594e-11	1	1	0
2.252	1789302237.784	09/13/2026_20:23:57.784	1	2	4.699842975e-05	6.593645185e-09	2.276269277e-11	1	1	0
2.332	1789302237.864	09/13/2026_20:23:57.864	1	2	4.700244972e-05	6.558360521e-09	2.274445909e-11	1	1	0
2.412	1789302237.944	09/13/2026_20:23:57.944	1	2	4.701705984e-05	6.610210601e-09	2.265342774e-11	1	1	0
2.491	1789302238.023	09/13/2026_20:23:58.023	1	2	4.700898717e-05	6.604546687e-09	2.268846569e-11	1	1	0
2.571	1789302238.103	09/13/2026_20:23:58.103	1	2	4.702419028e-05	6.571943878e-09	2.269643154e-11	1	1	0
2.651	1789302238.183	09/13/2026_20:23:58.183	1	2	4.703017476e-05	6.61655486e-09	2.256498981e-11	1	1	0
2.731	1789302238.263	09/13/2026_20:23:58.263	1	2	4.703026934e-05	6.592147717e-09	2.259894182e-11	1	1	0
2.811	1789302238.343	09/13/2026_20:23:58.343	1	2	4.702749357e-05	6.592589141e-09	2.264694682e-11	1	1	0
2.89	1789302238.422	09/13/2026_20:23:58.422	1	2	4.703126251e-05	6.594892632e-09	2.262584391e-11	1	1	0
2.97	1789302238.502	09/13/2026_20:23:58.502	1	2	4.697298573e-05	6.595283875e-09	2.259449225e-11	1	1	0
3.05	1789302238.582	09/13/2026_20:23:58.582	1	2	4.687306136e-05	6.614468973e-09	2.263288688e-11	1	1	0
3.13	1789302238.662	09/13/2026_20:23:58.662	1	2	4.679662379e-05	6.571288402e-09	2.269325179e-11	1	1	0
3.21	1789302238.742	09/13/2026_20:23:58.742	1	2	4.673655712e-05	6.597345337e-09	2.261218469e-11	1	1	0
3.289	1789302238.821	09/13/2026_20:23:58.821	1	2	4.669506598e-05	6.587101975e-09	2.251651469e-11	1	1	0
3.369	1789302238.901	09/13/2026_20:23:58.901	1	2	4.674270167e-05	6.590950008e-09	2.268322336e-11	1	1	0
3.449	1789302238.981	09/13/2026_20:23:58.981	1	2	4.678011464e-05	6.56580168e-09	2.268299437e-11	1	1	0
3.529	1789302239.061	09/13/2026_20:23:59.061	1	2	4.681259452e-05	6.598595448e-09	2.251296025e-11	1	1	0
3.609	1789302239.141	09/13/2026_20:23:59.141	1	2	4.683096631e-05	6.590804791e-09	2.25836936e-11	1	1	0
3.688	1789302239.220	09/13/2026_20:23:59.220	1	2	4.683703446e-05	6.578950718e-09	2.259667627e-11	1	1	0
3.768	1789302239.300	09/13/2026_20:23:59.300	1	2	4.681564315e-05	6.561670318e-09	2.251537325e-11	1	1	0
3.848	1789302239.380	09/13/2026_20:23:59.380	1	2	4.675669334e-05	6.610276326e-09	2.24352828e-11	1	1	0
3.928	1789302239.460	09/13/2026_20:23:59.460	1	2	4.672543582e-05	6.60765398e-09	2.243721528e-11	1	1	0
4.008	1789302239.540	09/13/2026_20:23:59.540	1	2	4.673162766e-05	6.593145141e-09	2.255122651e-11	1	1	0
4.087	1789302239.619	09/13/2026_20:23:59.619	1	2	4.682587314e-05	6.607144609e-09	2.25012578e-11	1	1	0
4.167	1789302239.699	09/13/2026_20:23:59.699	1	2	4.686826651e-05	6.587174362e-09	2.243696375e-11	1	1	0
4.247	1789302239.779	09/13/2026_20:23:59.779	1	2	4.692703442e-05	6.574525813e-09	2.256584676e-11	1	1	0
4.327	1789302239.859	09/13/2026_20:23:59.859	1	2	4.697639088e-05	6.577954625e-09	2.242536712e-11	1	1	0
4.407	1789302239.939	09/13/2026_20:23:59.939	1	2	4.700560385e-05	6.601036162e-09	2.236965994e-11	1	1	0
4.486	1789302240.018	09/13/2026_20:24:00.018	1	2	4.701759462e-05	6.586500678e-09	2.239814931e-11	1	1	0
4.566	1789302240.098	09/13/2026_20:24:00.098	1	2	4.703687227e-05	6.557446142e-09	2.25233443e-11	1	1	0
4.646	1789302240.178	09/13/2026_20:24:00.178	1	2	4.706214168e-05	6.601012625e-09	2.240870163e-11	1	1	0
4.726	1789302240.258	09/13/2026_20:24:00.258	1	2	4.707437256e-05	6.616464709e-09	2.235822465e-11	1	1	0
4.806	1789302240.338	09/13/2026_20:24:00.338	1	2	4.708585766e-05	6.58672672e-09	2.246301409e-11	1	1	0
4.885	1789302240.417	09/13/2026_20:24:00.417	1	2	4.709998029e-05	6.584899737e-09	2.244470755e-11	1	1	0
